customer_id,trans_date,response,month,tran_amount,month_year
CS5295,2/11/2013,1,2,35,2013-02
CS4768,3/15/2015,1,3,39,2015-03
CS2122,2/26/2013,0,2,52,2013-02
CS1217,11/16/2011,0,11,99,2011-11
CS1850,11/20/2013,0,11,78,2013-11
CS5539,3/26/2014,0,3,81,2014-03
CS2724,2/6/2012,0,2,93,2012-02
CS5902,1/30/2015,0,1,89,2015-01
CS6040,1/8/2013,0,1,76,2013-01
CS3802,8/20/2013,1,8,75,2013-08
CS3494,7/2/2013,0,7,94,2013-07
CS3780,3/25/2013,0,3,80,2013-03
CS1171,11/3/2012,0,11,59,2012-11
CS2892,5/12/2013,0,5,43,2013-05
CS5552,12/29/2014,0,12,78,2014-12
CS6043,1/15/2014,0,1,98,2014-01
CS4147,7/8/2013,0,7,81,2013-07
CS4655,12/30/2013,0,12,93,2013-12
CS3904,7/20/2014,0,7,103,2014-07
CS4102,7/9/2011,0,7,96,2011-07
CS2086,3/5/2013,0,3,75,2013-03
CS6085,1/9/2013,0,1,49,2013-01
CS1328,2/6/2013,0,2,54,2013-02
CS4564,3/27/2012,0,3,48,2012-03
CS5910,1/1/2012,0,1,98,2012-01
CS2748,3/23/2013,1,3,37,2013-03
CS5147,4/29/2013,0,4,72,2013-04
CS1770,11/2/2012,0,11,83,2012-11
CS3510,10/24/2011,0,10,81,2011-10
CS2509,12/5/2011,0,12,105,2011-12
CS2859,2/27/2015,0,2,77,2015-02
CS1512,2/21/2015,0,2,71,2015-02
CS4148,8/22/2013,0,8,48,2013-08
CS1735,3/31/2012,0,3,70,2012-03
CS1588,1/27/2012,0,1,70,2012-01
CS5514,1/9/2013,1,1,36,2013-01
CS5933,10/7/2013,0,10,48,2013-10
CS2797,3/6/2014,1,3,87,2014-03
CS5313,12/2/2012,0,12,88,2012-12
CS5966,3/9/2012,0,3,39,2012-03
CS5211,5/18/2014,0,5,51,2014-05
CS1511,1/13/2015,0,1,47,2015-01
CS6087,11/24/2014,0,11,37,2014-11
CS5909,2/4/2012,0,2,80,2012-02
CS2845,3/8/2013,0,3,105,2013-03
CS1433,11/5/2012,0,11,78,2012-11
